ID,iri_mean,iri_med,iri_min,iri_max,iri_stdev,speed_mean,speed_med,VPROMMS_ID,length,Social_Cost_1,Isolated_Trips_1,CRIT_SCORE_1,Social_Cost_2,Isolated_Trips_2,CRIT_SCORE_2
36,7.63846153846,7.45,4.97,11.9,1.80977367901,33.8569230769,34.24,212TH00029,2.10348248279,2750759.46892,0.0,0.00150184108162,31321.2965448,0.0,4.10011572592e-05
37,13.095,8.11,5.34,44.01,12.3655829748,30.4892857143,29.365,212TH00030,2.38708725473,812069209.66,812069.20966,0.554210079965,272130000.0,27213.0,0.445289872858
38,5.40666666667,5.49,4.84,5.89,0.529937103186,37.0833333333,38.92,Input VPROMMS: transit fr (66.67 pct); 214YD00059 (19.05 pct); transit 4_ (9.52 pct); 212TH00030 (4.76 pct); ,0.809233788042,12948790.3128,0.0,0.0070696931043,414741.555049,0.0,0.000542917618247
39,3.23769230769,2.17,1.0,7.46,2.37226387601,32.44,33.82,Input VPROMMS: transit fr (43.75 pct); 214YD00062 (39.06 pct); 214YD00045 (17.19 pct); ,3.8055081842,8288693.11298,0.0,0.0045254047003,739632.776842,0.0,0.000968216617535
40,3.105,2.99,2.64,3.8,0.542371336509,26.2025,25.13,214YD00044,0.659556387972,0.0,0.0,0.0,0.0,0.0,0.0
41,8.46375,8.495,7.52,9.68,0.698630036981,28.98125,27.73,213YD00007,1.33621799391,5755075.58815,0.0,0.00314211731116,187631.523493,0.0,0.000245619129799
42,9.47166666667,9.43,7.67,11.58,1.2672713469,32.16,30.725,212TH00024,1.88334736224,6750758.93271,0.0,0.00368573378073,69600.8746338,0.0,9.1111056088e-05
43,,,,,,,,214YD00051,0.492778279508,0.0,0.0,0.0,0.0,0.0,0.0
44,15.3525,8.055,6.55,38.75,15.6144641812,29.885,30.42,212TH00030,0.485694420479,1465273258.31,1465273.25831,1.0,611130000.0,61113.0,1.0
45,14.1891304348,10.33,6.9,48.41,11.5866545148,32.5313043478,35.4,Input VPROMMS: 212TH00030 (73.33 pct); transit ro (18.1 pct); transit 7_ (6.67 pct); 214YD00059 (1.9 pct); ,3.96396173725,0.0,0.0,0.0,0.0,0.0,0.0
46,5.66,5.46,1.89,10.49,3.74405528805,30.51,31.89,Input VPROMMS: 212TH00030 (50.0 pct); 214YD00044 (50.0 pct); ,0.319177329151,812069209.66,812069.20966,0.554210079965,272130000.0,27213.0,0.445289872858
47,7.225,7.35,6.37,7.83,0.651690110405,22.555,22.695,214YD00049,0.329463316717,0.0,0.0,0.0,0.0,0.0,0.0
48,3.27636363636,3.29,1.61,4.88,1.12319430845,31.1863636364,32.46,214YD00044,2.52176716247,971224463.185,971224.463185,0.662828218337,339000000.0,33900.0,0.554710127142
49,,,,,,,,212TH00029,0.537239778969,2750759.46892,0.0,0.00150184108162,31321.2965448,0.0,4.10011572592e-05
50,8.185,8.11,6.99,9.19,0.907672848553,26.9916666667,27.08,214YD00026,0.597667574382,0.0,0.0,0.0,0.0,0.0,0.0
51,8.704,8.885,6.18,10.31,1.37382030201,32.128,32.695,212TH00024,1.32123981277,2137581.37141,0.0,0.00116706224414,8146.83519553,0.0,1.06646182587e-05
52,9.275,9.185,7.07,11.76,1.45684278805,25.1575,25.355,214YD00028,2.14126312243,452645.057114,0.0,0.000247132092009,52993.8655838,0.0,6.9371643459e-05
53,5.82666666667,5.82,4.81,6.85,1.02001633974,36.0433333333,39.75,212TH00029,0.854734557699,2750759.46892,0.0,0.00150184108162,31321.2965448,0.0,4.10011572592e-05
54,4.65,4.59,3.98,5.77,0.541582044672,25.654,24.89,214YD00046,1.89681560962,0.0,0.0,0.0,0.0,0.0,0.0
55,10.64,10.405,8.78,11.99,1.1034879765,21.50375,21.18,214YD00025,1.77524025104,0.0,0.0,0.0,0.0,0.0,0.0
56,7.18,7.18,7.18,7.18,,28.21,28.21,Input VPROMMS: 214YD00034 (50.0 pct); 213YD00012 (50.0 pct); ,0.0500758474088,0.0,0.0,0.0,0.0,0.0,0.0
57,6.77774193548,6.85,4.91,8.61,0.99880832221,30.8316129032,29.67,Input VPROMMS: 213YD00012 (62.83 pct); transit fr (23.01 pct); 214YD00034 (13.27 pct); 214YD00064 (0.88 pct); ,3.03506637683,2733842.87899,0.0,0.00149260507608,412324.742548,0.0,0.000539753888761
58,3.15571428571,1.75,1.0,7.82,2.42546195894,30.5133333333,31.08,Input VPROMMS: 214YD00033 (54.29 pct); 213YD00011 (44.29 pct); 214YD00034 (1.43 pct); ,1.27509494451,4222987.24079,0.0,0.00230563805998,296195.107004,0.0,0.00038773433738
59,4.368,4.25,3.54,5.26,0.621425779961,25.692,25.39,214YD00023,0.522623481804,5755075.58815,0.0,0.00314211731116,187631.523493,0.0,0.000245619129799
60,8.965,8.965,8.52,9.41,0.629325035256,25.045,25.045,213YD00007,0.125828559021,0.0,0.0,0.0,0.0,0.0,0.0
61,4.02,4.09,3.59,4.38,0.399624824054,26.44,26.65,214YD00023,0.335180186786,13697802.6626,0.0,0.00747863380973,339358.786428,0.0,0.000444237771248
62,,,,,,,,212TH00029,0.0248282024769,5755075.58815,0.0,0.00314211731116,187631.523493,0.0,0.000245619129799
63,8.1825,8.085,7.51,9.05,0.719229912244,23.2275,23.29,Input VPROMMS: 214YD00050 (58.49 pct); 214YD00052 (26.42 pct); 214YD00048 (11.32 pct); 214YD00051 (3.77 pct); ,0.799904520066,0.0,0.0,0.0,0.0,0.0,0.0
64,7.98875,7.715,5.86,11.79,1.48343699768,32.81,33.14,Input VPROMMS: 214YD00034 (50.7 pct); 213YD00012 (42.25 pct); 214YD00052 (2.82 pct); return_1 (2.82 pct); 214YD00050 (1.41 pct); ,1.57127770692,0.0,0.0,0.0,0.0,0.0,0.0
65,6.16,6.1,4.9,7.48,1.29104608748,32.0133333333,33.31,212TH00029,0.310938970859,0.0,0.0,0.0,0.0,0.0,0.0
66,,,,,,,,214YD00026,0.122908038336,545044893.241,545044.893241,0.371974913313,150030000.0,15003.0,0.245496048304
67,,,,,,,,214YD00048,0.0364547482068,0.0,0.0,0.0,0.0,0.0,0.0
68,7.58277777778,7.325,6.39,9.74,0.902355124794,34.7461111111,34.955,Input VPROMMS: 212TH00027 (70.69 pct); 212YD00027 (27.59 pct); 214YD00028 (1.72 pct); ,2.06641682263,0.0,0.0,0.0,0.0,0.0,0.0
69,6.63333333333,6.53,6.23,7.14,0.463716867639,21.7566666667,22.43,214YD00048,0.394054830231,0.0,0.0,0.0,0.0,0.0,0.0
70,8.87,8.5,7.27,11.48,1.44016864092,29.1875,26.97,212TH00024,0.991236996503,1941891.14155,0.0,0.00106022061375,69849.4772746,0.0,9.14364894861e-05
71,3.50714285714,1.7,1.34,6.3,2.50646307431,28.3385714286,28.7,Input VPROMMS: 214YD00033 (53.85 pct); 213YD00011 (46.15 pct); ,0.260711785569,1019164.40437,0.0,0.000556436500065,72357.3248185,0.0,9.47193884359e-05
72,3.51625,1.96,1.26,8.39,2.79274538505,33.14625,35.42,Input VPROMMS: 214YD00033 (53.33 pct); 213YD00011 (46.67 pct); ,0.316551649778,806590.798262,0.0,0.000440376997907,19726.1349246,0.0,2.58225057511e-05
73,3.095,3.115,2.71,3.35,0.221246468898,24.2616666667,24.98,214YD00019,0.798133596803,0.0,0.0,0.0,0.0,0.0,0.0
74,2.575,2.575,2.51,2.64,0.0919238815543,22.715,22.715,214YD00017,0.434850622127,0.0,0.0,0.0,0.0,0.0,0.0
75,6.9348,6.88,4.3,9.37,1.20918746823,28.8108,28.32,Input VPROMMS: 212TH00027 (54.55 pct); 212YD00027 (45.45 pct); ,1.5866900557,0.0,0.0,0.0,0.0,0.0,0.0
76,3.376,2.05,1.7,5.66,2.04793310438,27.666,27.75,Input VPROMMS: 214YD00033 (53.33 pct); 213YD00011 (46.67 pct); ,0.252861482067,676507.983244,0.0,0.000369355260887,9829.66328736,0.0,1.28675251254e-05
77,2.595,2.595,2.33,2.86,0.374766594029,24.48,24.48,214YD00022,0.17971801134,447933392.398,447933.392398,0.3056995614,116160000.0,11616.0,0.190074124982
78,3.645,3.645,3.18,4.11,0.657609306503,25.0,25.0,214YD00024,0.268631333135,0.0,0.0,0.0,0.0,0.0,0.0
79,6.06,6.23,4.77,7.01,1.07944430148,20.7775,20.785,214YD00063,0.339712062684,0.0,0.0,0.0,0.0,0.0,0.0
80,6.27166666667,6.225,4.65,8.01,0.857453480131,30.9127777778,30.285,214YD00018,1.4629864115,0.0,0.0,0.0,0.0,0.0,0.0
81,3.955,2.61,1.46,8.06,2.80921875261,27.4866666667,28.0,Input VPROMMS: 214YD00033 (57.14 pct); 213YD00011 (42.86 pct); ,0.251362767065,676507.983244,0.0,0.000369355260887,9829.66328736,0.0,1.28675251254e-05
82,3.25,3.25,3.25,3.25,,23.62,23.62,Input VPROMMS: 214YD00018 (57.89 pct); 214YD00021 (42.11 pct); ,0.393454879842,0.0,0.0,0.0,0.0,0.0,0.0
83,,,,,,,,Input VPROMMS: 214YD00018 (75.0 pct); 214YD00024 (25.0 pct); ,0.0290076495839,0.0,0.0,0.0,0.0,0.0,0.0
84,4.02,4.02,4.02,4.02,,22.79,22.79,214YD00024,0.152480190531,0.0,0.0,0.0,0.0,0.0,0.0
85,6.54,6.43,4.81,8.23,1.30259740519,30.2583333333,31.195,Input VPROMMS: 213YD00012 (51.72 pct); transit fr (34.48 pct); 214YD00096 (10.34 pct); 214YD00064 (3.45 pct); ,0.618859202509,5003794.66882,0.0,0.00273193802749,1568233.04524,0.0,0.00205289616971
86,,,,,,,,214YD00064,0.525753993537,0.0,0.0,0.0,0.0,0.0,0.0
87,7.25529411765,7.675,3.39,11.09,1.93983634938,32.5388235294,34.17,212TH00008,0.842494216482,4072418.56615,0.0,0.00222343159164,235732.93881,0.0,0.000308586309047
88,6.6741025641,6.31,3.41,12.92,2.27804015254,34.3441025641,35.95,212TH00008,0.967194725506,565370862.718,565370.862718,0.38584670778,168840000.0,16884.0,0.276275096952
89,6.565,6.595,5.74,7.16,0.564862815204,32.1883333333,32.15,Input VPROMMS: 214YD00018 (45.83 pct); 214YD00020 (45.83 pct); 214YD00063 (8.33 pct); ,0.309963939739,0.0,0.0,0.0,0.0,0.0,0.0
90,2.9,2.44,2.3,3.96,0.920651942919,31.2333333333,31.34,214YD00044,0.615969740508,971224463.185,971224.463185,0.662828218337,339000000.0,33900.0,0.554710127142
91,3.23,3.15,3.01,3.53,0.269072480941,23.5733333333,23.9,214YD00019,0.439281991914,0.0,0.0,0.0,0.0,0.0,0.0
92,,,,,,,,Input VPROMMS: 214YD00018 (66.67 pct); 214YD00063 (33.33 pct); ,0.0861914033313,0.0,0.0,0.0,0.0,0.0,0.0
93,1.89,1.89,1.89,1.89,,28.3,28.3,Input VPROMMS: 214YD00018 (40.0 pct); 213YD00011 (20.0 pct); 214YD00063 (20.0 pct); 214YD00033 (20.0 pct); ,0.0197822001712,676507.983244,0.0,0.000369355260887,9829.66328736,0.0,1.28675251254e-05
94,4.41142857143,3.7,1.32,8.75,2.63758276783,29.5547619048,28.3,Input VPROMMS: 214YD00033 (61.19 pct); 213YD00011 (37.31 pct); 214YD00038 (1.49 pct); ,1.27686207681,5437436.71866,0.0,0.0029686949859,85679.0076487,0.0,0.000112158143307
95,,,,,,,,214YD00064,1.11494094903,0.0,0.0,0.0,0.0,0.0,0.0
96,,,,,,,,return_1,0.0842733738676,,,,,,
97,,,,,,,,Input VPROMMS: transit fr (33.33 pct); 214YD00096 (33.33 pct); 214YD00062 (33.33 pct); ,0.0230749061187,1416217.75783,0.0,0.000773217009073,1496.60016028,0.0,1.95912510959e-06
98,16.4244444444,11.57,6.8,46.64,11.9054017509,28.9727777778,29.275,212TH00030,2.0847515263,1416217.75783,0.0,0.000773217009073,1496.60016028,0.0,1.95912510959e-06
99,8.45112903226,8.555,4.66,14.22,2.44828953664,31.6758064516,30.65,212TH00008,1.09215864053,10057112.3672,0.0,0.00549091430429,678745.277203,0.0,0.000888511808882
100,7.62,7.62,7.43,7.81,0.268700576851,29.285,29.285,214YD00037,0.304686710978,955715.593637,0.0,0.000521795146791,1009.96058177,0.0,1.32208935156e-06
101,18.29,11.66,6.13,37.08,16.5058565364,34.1433333333,35.4,212TH00030,0.364867797363,0.0,0.0,0.0,0.0,0.0,0.0
102,2.86384615385,2.84,2.05,3.86,0.583131466903,24.1176923077,24.15,214YD00014,1.67528508982,0.0,0.0,0.0,0.0,0.0,0.0
103,7.81,7.81,7.81,7.81,,37.09,37.09,213YD00012,0.00328409608725,955715.593637,0.0,0.000521795146791,1009.96058177,0.0,1.32208935156e-06
104,5.06,5.06,5.06,5.06,,24.51,24.51,Input VPROMMS: 214YD00053 (72.73 pct); 214YD00027 (27.27 pct); ,0.144961733495,0.0,0.0,0.0,0.0,0.0,0.0
105,7.322,7.81,5.25,9.92,1.93294335147,29.662,30.46,Input VPROMMS: 213YD00012 (53.33 pct); 214YD00034 (26.67 pct); 214YD00037 (20.0 pct); ,0.263713715735,0.0,0.0,0.0,0.0,0.0,0.0
106,8.26,7.94,7.51,9.59,0.689256846176,31.2066666667,33.03,214YD00038,1.04023028958,1416217.75783,0.0,0.000773217009073,1496.60016028,0.0,1.95912510959e-06
107,6.51,5.87,4.25,10.63,1.94929946931,30.88,31.585,212TH00008,0.673985389867,565370862.718,565370.862718,0.38584670778,168840000.0,16884.0,0.276275096952
