,Junction,points
138,POINT (105.6815035641755 19.99965587655391),3.0
139,POINT (105.5893456229443 20.01612568159467),3.0
140,POINT (105.7080015632072 19.9803162586286),3.0
141,POINT (105.6157778201288 20.01168045581371),3.0
142,POINT (105.5418798657114 20.0341183112125),3.0
143,POINT (105.6093142062333 20.01605425493556),3.0
144,POINT (105.5755897000857 20.00890682910028),3.0
145,POINT (105.6032873860134 20.01732911828972),3.0
146,POINT (105.5746650040218 19.99426501777418),3.0
147,POINT (105.7505146553035 19.9478718300667),3.0
148,POINT (105.5928343206461 20.0225596472671),3.0
149,POINT (105.6493874178093 20.00657082624312),3.0
150,POINT (105.5729183502759 20.01178453991831),3.0
151,POINT (105.5480371857079 20.02809104252637),3.0
152,POINT (105.5636401410622 19.97550216275959),3.0
153,POINT (105.5636400300212 19.97550216583365),3.0
154,POINT (105.6051649490964 20.01979388364998),3.0
155,POINT (105.5984131963973 19.98266866304225),3.0
156,POINT (105.5915536317804 20.0203634321807),3.0
157,POINT (105.5246242892822 20.074629858322),3.0
158,POINT (105.6050460271934 19.98602193416574),3.0
159,POINT (105.5978730641949 19.97011679519394),3.0
160,POINT (105.5747825357154 20.0349071871049),3.0
161,POINT (105.5482571824201 20.02856116734694),3.0
162,POINT (105.554945267915 20.00202707863891),3.0
163,POINT (105.5479899956175 20.04005953624165),3.0
164,POINT (105.661607465834 19.98481528641175),3.0
165,POINT (105.5441179787497 20.00717874903933),3.0
166,POINT (105.5949197734355 20.02030534212169),3.0
167,POINT (105.5689564904069 20.0211729021196),3.0
168,POINT (105.7117246036333 19.93777747649805),3.0
169,POINT (105.5520500776328 20.06294389476581),3.0
170,POINT (105.6812803974808 19.99340750234441),3.0
171,POINT (105.5725397185789 19.99113081321034),3.0
172,POINT (105.65554110668 19.97422831309151),3.0
173,POINT (105.6648413976012 19.96173232535845),3.0
174,POINT (105.6491311727721 19.96419272361678),3.0
175,POINT (105.7346550589635 19.95156686923136),3.0
176,POINT (105.5699456426836 20.03203540248699),3.0
177,POINT (105.601409954541 19.98130055423792),3.0
178,POINT (105.6622493102018 19.9622185370031),3.0
179,POINT (105.4754160277229 20.03764963409792),3.0
180,POINT (105.6770912402622 19.99510424324948),3.0
181,POINT (105.5730516127851 20.0081799764527),3.0
182,POINT (105.5986603272829 19.97504841953854),3.0
183,POINT (105.5910880023528 20.020668893726),3.0
184,POINT (105.6285415332075 20.00642677278728),3.0
185,POINT (105.5543646260295 20.07482899858819),3.0
186,POINT (105.7118024996301 19.93886466872008),3.0
187,POINT (105.5894738137993 20.02413020843717),3.0
188,POINT (105.609157502138 20.01636408726941),3.0
189,POINT (105.5803528838426 20.02640007472228),3.0
190,POINT (105.5677626549877 19.96158973455179),3.0
191,POINT (105.5962968572645 19.96834264946786),3.0
192,POINT (105.603684347123 20.01725732018443),3.0
193,POINT (105.7383189041794 19.95041421964554),3.0
194,POINT (105.5695441216516 20.00464301193388),3.0
195,POINT (105.6866165914936 19.99745797000633),3.0
196,POINT (105.5696331871529 19.97587565010424),3.0
197,POINT (105.5218048704067 20.02218002576911),3.0
198,POINT (105.6578175822426 19.98484934610337),3.0
199,POINT (105.5774974851172 20.01386900292044),3.0
200,POINT (105.5747050659888 20.03490387386333),3.0
201,POINT (105.6049045990404 20.01996252956726),3.0
202,POINT (105.5314852488339 20.02717542164839),3.0
203,POINT (105.5949197061457 20.02030532857518),3.0
204,POINT (105.5985252640514 19.98253754117683),3.0
205,POINT (105.6156920230392 20.01176748305531),3.0
206,POINT (105.5865041580875 19.96195060866199),3.0
207,POINT (105.6809778123958 19.99018840114759),3.0
208,POINT (105.583363135391 19.96516888682807),3.0
209,POINT (105.5638466413039 19.98723914877502),3.0
210,POINT (105.5651265242252 20.06968897279084),3.0
211,POINT (105.6568402206547 19.99637743807799),3.0
212,POINT (105.6740286179224 19.99226673169725),3.0
213,POINT (105.7373510081241 19.9394213881792),3.0
214,POINT (105.6365129888777 19.99187112247381),3.0
