,points,Junction
POINT (105.7383014028174 19.93787489586208),3,POINT (105.7383014028174 19.93787489586208)
POINT (105.5612511102832 20.05085968537565),3,POINT (105.5612511102832 20.05085968537565)
POINT (105.6098217637759 20.01773314332939),3,POINT (105.6098217637759 20.01773314332939)
POINT (105.6294391911164 20.00865586147824),3,POINT (105.6294391911164 20.00865586147824)
POINT (105.5893427293794 20.01611530881269),3,POINT (105.5893427293794 20.01611530881269)
POINT (105.5837988309994 19.96622644595395),3,POINT (105.5837988309994 19.96622644595395)
POINT (105.5192926596739 20.07248969802143),3,POINT (105.5192926596739 20.07248969802143)
POINT (105.576588684819 19.97097977852778),3,POINT (105.576588684819 19.97097977852778)
POINT (105.6577426006772 19.98480500743594),3,POINT (105.6577426006772 19.98480500743594)
POINT (105.5893456229443 20.01612568159467),3,POINT (105.5893456229443 20.01612568159467)
POINT (105.5810751470455 19.97727926430416),3,POINT (105.5810751470455 19.97727926430416)
POINT (105.7262766683558 19.93752713418978),3,POINT (105.7262766683558 19.93752713418978)
POINT (105.6528476796682 19.97040536913771),3,POINT (105.6528476796682 19.97040536913771)
POINT (105.5682385697655 20.02511127333069),3,POINT (105.5682385697655 20.02511127333069)
POINT (105.6026494906975 20.01617978988152),3,POINT (105.6026494906975 20.01617978988152)
POINT (105.5918008763863 20.02032091208838),3,POINT (105.5918008763863 20.02032091208838)
POINT (105.6830369237005 19.98875255130693),3,POINT (105.6830369237005 19.98875255130693)
POINT (105.5701048618416 20.0127325302654),3,POINT (105.5701048618416 20.0127325302654)
POINT (105.6293803824398 20.00853192179477),3,POINT (105.6293803824398 20.00853192179477)
POINT (105.5899217086084 19.97223678741432),3,POINT (105.5899217086084 19.97223678741432)
POINT (105.5640718338777 20.01613032017848),3,POINT (105.5640718338777 20.01613032017848)
POINT (105.5687141983563 20.02508743180133),3,POINT (105.5687141983563 20.02508743180133)
POINT (105.6252997461098 19.95789822605382),3,POINT (105.6252997461098 19.95789822605382)
POINT (105.6156920230392 20.01176748305531),3,POINT (105.6156920230392 20.01176748305531)
POINT (105.6528036088474 19.97039754662264),3,POINT (105.6528036088474 19.97039754662264)
POINT (105.5755229043631 20.0086529669222),3,POINT (105.5755229043631 20.0086529669222)
POINT (105.601409954541 19.98130055423792),3,POINT (105.601409954541 19.98130055423792)
POINT (105.5757542206403 20.04045534368222),3,POINT (105.5757542206403 20.04045534368222)
POINT (105.7473441492898 19.9541446828723),3,POINT (105.7473441492898 19.9541446828723)
POINT (105.7055647595686 19.9434122056796),3,POINT (105.7055647595686 19.9434122056796)
POINT (105.7139248123601 19.93637092526328),3,POINT (105.7139248123601 19.93637092526328)
POINT (105.55908614664 20.06812360453672),3,POINT (105.55908614664 20.06812360453672)
POINT (105.5178567503329 20.07207435447257),3,POINT (105.5178567503329 20.07207435447257)
POINT (105.5776432520754 20.01310417336045),3,POINT (105.5776432520754 20.01310417336045)
POINT (105.6026778699551 20.015987048895),3,POINT (105.6026778699551 20.015987048895)
POINT (105.717731020415 19.99092946319904),3,POINT (105.717731020415 19.99092946319904)
POINT (105.5699456426836 20.03203540248699),3,POINT (105.5699456426836 20.03203540248699)
POINT (105.5475506704337 20.02627770332113),3,POINT (105.5475506704337 20.02627770332113)
POINT (105.5482571824201 20.02856116734694),3,POINT (105.5482571824201 20.02856116734694)
POINT (105.7510889673288 19.94776479722578),3,POINT (105.7510889673288 19.94776479722578)
POINT (105.6085738214868 20.01467412003658),3,POINT (105.6085738214868 20.01467412003658)
POINT (105.5979691652995 19.96796394467233),3,POINT (105.5979691652995 19.96796394467233)
POINT (105.7136337041123 19.9925178519024),3,POINT (105.7136337041123 19.9925178519024)
POINT (105.5595666702474 20.06825535707615),3,POINT (105.5595666702474 20.06825535707615)
POINT (105.6907664867354 19.95964844763201),3,POINT (105.6907664867354 19.95964844763201)
POINT (105.5413496101563 20.04409026267322),3,POINT (105.5413496101563 20.04409026267322)
POINT (105.5829332234809 20.02604917412997),3,POINT (105.5829332234809 20.02604917412997)
POINT (105.6740286179224 19.99226673169725),3,POINT (105.6740286179224 19.99226673169725)
POINT (105.5928343206461 20.0225596472671),3,POINT (105.5928343206461 20.0225596472671)
POINT (105.6746385795591 19.9925340905614),3,POINT (105.6746385795591 19.9925340905614)
POINT (105.5773760140752 20.05554745672018),3,POINT (105.5773760140752 20.05554745672018)
POINT (105.6911645523554 19.96093670256766),3,POINT (105.6911645523554 19.96093670256766)
POINT (105.661708406259 19.98483436456964),3,POINT (105.661708406259 19.98483436456964)
POINT (105.6445702589443 19.99720200495078),3,POINT (105.6445702589443 19.99720200495078)
POINT (105.6854064832865 19.99805204036673),3,POINT (105.6854064832865 19.99805204036673)
POINT (105.6766951241114 19.9949668761492),3,POINT (105.6766951241114 19.9949668761492)
POINT (105.548912989122 20.03131032986797),3,POINT (105.548912989122 20.03131032986797)
POINT (105.6661813152822 19.96086186555111),3,POINT (105.6661813152822 19.96086186555111)
POINT (105.550076152104 20.01908103788306),3,POINT (105.550076152104 20.01908103788306)
POINT (105.5874759308991 19.99253820640676),3,POINT (105.5874759308991 19.99253820640676)
POINT (105.5755897000857 20.00890682910028),3,POINT (105.5755897000857 20.00890682910028)
POINT (105.5468713218887 20.00675125902982),3,POINT (105.5468713218887 20.00675125902982)
POINT (105.7118024996301 19.93886466872008),3,POINT (105.7118024996301 19.93886466872008)
POINT (105.5725397185789 19.99113081321034),3,POINT (105.5725397185789 19.99113081321034)
POINT (105.6488005361687 19.96459605685194),3,POINT (105.6488005361687 19.96459605685194)
POINT (105.5339725313789 20.06028333696498),3,POINT (105.5339725313789 20.06028333696498)
POINT (105.5931378570127 19.98456957068258),3,POINT (105.5931378570127 19.98456957068258)
POINT (105.4754160277229 20.03764963409792),3,POINT (105.4754160277229 20.03764963409792)
POINT (105.7530256280027 19.9386235076065),3,POINT (105.7530256280027 19.9386235076065)
POINT (105.6032873860134 20.01732911828972),3,POINT (105.6032873860134 20.01732911828972)
POINT (105.710610888656 19.93548444142251),3,POINT (105.710610888656 19.93548444142251)
POINT (105.7381966779854 19.95015937904335),3,POINT (105.7381966779854 19.95015937904335)
POINT (105.6909800390398 19.9593593320845),3,POINT (105.6909800390398 19.9593593320845)
POINT (105.5901684564313 19.99287631054212),3,POINT (105.5901684564313 19.99287631054212)
POINT (105.5857109711003 20.02424134995595),3,POINT (105.5857109711003 20.02424134995595)
POINT (105.5921206334132 20.02073060247548),3,POINT (105.5921206334132 20.02073060247548)
POINT (105.5967348746271 20.02182289289),3,POINT (105.5967348746271 20.02182289289)
POINT (105.5954405035243 19.97464016851277),3,POINT (105.5954405035243 19.97464016851277)
POINT (105.6712259323411 19.9924594391858),3,POINT (105.6712259323411 19.9924594391858)
POINT (105.570369452638 20.01468088638659),3,POINT (105.570369452638 20.01468088638659)
POINT (105.5700433181527 19.97721570908631),3,POINT (105.5700433181527 19.97721570908631)
POINT (105.5638466413039 19.98723914877502),3,POINT (105.5638466413039 19.98723914877502)
POINT (105.5457177995032 20.01747445067507),3,POINT (105.5457177995032 20.01747445067507)
POINT (105.5776806467747 20.0360887256926),3,POINT (105.5776806467747 20.0360887256926)
POINT (105.5685219114351 20.00523546698645),3,POINT (105.5685219114351 20.00523546698645)
POINT (105.6464403141446 19.9622901619251),3,POINT (105.6464403141446 19.9622901619251)
POINT (105.5474461348615 20.00670463805945),3,POINT (105.5474461348615 20.00670463805945)
POINT (105.580881547925 20.0434843282227),3,POINT (105.580881547925 20.0434843282227)
POINT (105.603684347123 20.01725732018443),3,POINT (105.603684347123 20.01725732018443)
POINT (105.5885765769135 19.99556906996835),3,POINT (105.5885765769135 19.99556906996835)
POINT (105.6570238370257 19.99339036267754),3,POINT (105.6570238370257 19.99339036267754)
POINT (105.5833572790418 20.02339450504157),3,POINT (105.5833572790418 20.02339450504157)
POINT (105.5806614737165 20.04349926379046),3,POINT (105.5806614737165 20.04349926379046)
POINT (105.6365129888777 19.99187112247381),3,POINT (105.6365129888777 19.99187112247381)
POINT (105.5418258673257 20.03455365019457),3,POINT (105.5418258673257 20.03455365019457)
POINT (105.5800992051747 20.06044857195995),3,POINT (105.5800992051747 20.06044857195995)
POINT (105.5397463540607 20.00926851084176),3,POINT (105.5397463540607 20.00926851084176)
POINT (105.628524946606 20.00644526880171),3,POINT (105.628524946606 20.00644526880171)
POINT (105.5833856760597 20.02338184348052),3,POINT (105.5833856760597 20.02338184348052)
POINT (105.5320607349481 20.0383126445937),3,POINT (105.5320607349481 20.0383126445937)
POINT (105.569225721715 19.97643235742841),3,POINT (105.569225721715 19.97643235742841)
POINT (105.556282360014 20.00225345665674),3,POINT (105.556282360014 20.00225345665674)
POINT (105.6051649490964 20.01979388364998),3,POINT (105.6051649490964 20.01979388364998)
POINT (105.591033801858 19.97468221823172),3,POINT (105.591033801858 19.97468221823172)
POINT (105.546793458768 20.00639162724535),3,POINT (105.546793458768 20.00639162724535)
POINT (105.7128631426733 19.93721167801935),3,POINT (105.7128631426733 19.93721167801935)
POINT (105.5771796360299 20.01020516048134),3,POINT (105.5771796360299 20.01020516048134)
POINT (105.5752353198673 20.01239010658517),3,POINT (105.5752353198673 20.01239010658517)
POINT (105.6354324296803 19.98960453933883),3,POINT (105.6354324296803 19.98960453933883)
POINT (105.6167689728781 20.01519547653586),3,POINT (105.6167689728781 20.01519547653586)
POINT (105.5626694855515 20.07144354601598),3,POINT (105.5626694855515 20.07144354601598)
POINT (105.6815035641755 19.99965587655391),3,POINT (105.6815035641755 19.99965587655391)
POINT (105.5106901822895 20.05476536993432),3,POINT (105.5106901822895 20.05476536993432)
