,lines,shapely,length,start,end
108,"LINESTRING (105.5773759482207 20.0555474269899, 105.5773760015841 20.05554744777481, 105.5773760140752 20.05554745672018)","LINESTRING (105.5773759482207 20.0555474269899, 105.5773760015841 20.05554744777481, 105.5773760140752 20.05554745672018)",0.00767482331924,POINT (105.5773759482207 20.0555474269899),POINT (105.5773760140752 20.05554745672018)
110,"LINESTRING (105.5773760140752 20.05554745672018, 105.5773760227723 20.0555474425674)","LINESTRING (105.5773760140752 20.05554745672018, 105.5773760227723 20.0555474425674)",0.00181114048099,POINT (105.5773760140752 20.05554745672018),POINT (105.5773760227723 20.0555474425674)
143,"LINESTRING (105.5915536282983 20.02036343201632, 105.5915536315649 20.02036343222156, 105.5915536317804 20.0203634321807, 105.5915541447105 20.02036346440821, 105.5915541568356 20.02036346671078, 105.5915685240926 20.02036436944062, 105.5916307025914 20.02036062801759, 105.5916998444824 20.02034854010099, 105.5917440324133 20.02033610115564, 105.5917708879463 20.02033029232259, 105.5918008763863 20.02032091208838)","LINESTRING (105.5915536282983 20.02036343201632, 105.5915536315649 20.02036343222156, 105.5915536317804 20.0203634321807, 105.5915541447105 20.02036346440821, 105.5915541568356 20.02036346671078, 105.5915685240926 20.02036436944062, 105.5916307025914 20.02036062801759, 105.5916998444824 20.02034854010099, 105.5917440324133 20.02033610115564, 105.5917708879463 20.02033029232259, 105.5918008763863 20.02032091208838)",26.4412144121,POINT (105.5915536282983 20.02036343201632),POINT (105.5918008763863 20.02032091208838)
146,"LINESTRING (105.5921206334132 20.02073060247548, 105.5921699454228 20.02071958112522, 105.5921805384 20.02071852666702)","LINESTRING (105.5921206334132 20.02073060247548, 105.5921699454228 20.02071958112522, 105.5921805384 20.02071852666702)",6.41422760162,POINT (105.5921206334132 20.02073060247548),POINT (105.5921805384 20.02071852666702)
181,"LINESTRING (105.6157778345543 20.01168044025323, 105.6157778324491 20.01168044372635, 105.6157778201288 20.01168045581371, 105.6157774396024 20.01168067662867, 105.6157652045365 20.01168999136905, 105.615717936849 20.01173605847041, 105.6156920230392 20.01176748305531)","LINESTRING (105.6157778345543 20.01168044025323, 105.6157778324491 20.01168044372635, 105.6157778201288 20.01168045581371, 105.6157774396024 20.01168067662867, 105.6157652045365 20.01168999136905, 105.615717936849 20.01173605847041, 105.6156920230392 20.01176748305531)",13.2034719461,POINT (105.6157778345543 20.01168044025323),POINT (105.6156920230392 20.01176748305531)
184,"LINESTRING (105.6208955005335 20.00479070576194, 105.6208784553467 20.00480753195168)","LINESTRING (105.6208955005335 20.00479070576194, 105.6208784553467 20.00480753195168)",2.57810820475,POINT (105.6208955005335 20.00479070576194),POINT (105.6208784553467 20.00480753195168)
191,"LINESTRING (105.628524946606 20.00644526880171, 105.6285413866928 20.00642690059471, 105.6285415332075 20.00642677278728)","LINESTRING (105.628524946606 20.00644526880171, 105.6285413866928 20.00642690059471, 105.6285415332075 20.00642677278728)",2.68347161536,POINT (105.628524946606 20.00644526880171),POINT (105.6285415332075 20.00642677278728)
196,"LINESTRING (105.6331028184805 20.00286601198581, 105.6331115801654 20.0028652490757, 105.6331136381884 20.00286558789143, 105.6331266929539 20.00286944581027, 105.6331342214845 20.00287072550921)","LINESTRING (105.6331028184805 20.00286601198581, 105.6331115801654 20.0028652490757, 105.6331136381884 20.00286558789143, 105.6331266929539 20.00286944581027, 105.6331342214845 20.00287072550921)",3.36997146503,POINT (105.6331028184805 20.00286601198581),POINT (105.6331342214845 20.00287072550921)
197,"LINESTRING (105.6331274016753 20.00289879061171, 105.6331274020423 20.00289873425518, 105.6331336146205 20.00287506481843, 105.6331342214845 20.00287072550921)","LINESTRING (105.6331274016753 20.00289879061171, 105.6331274020423 20.00289873425518, 105.6331336146205 20.00287506481843, 105.6331342214845 20.00287072550921)",3.1894493206,POINT (105.6331274016753 20.00289879061171),POINT (105.6331342214845 20.00287072550921)
222,"LINESTRING (105.6636445445735 19.99314385619365, 105.6636338988441 19.99315345955154, 105.6636236776193 19.99316505188506, 105.6636139802419 19.99317370263078)","LINESTRING (105.6636445445735 19.99314385619365, 105.6636338988441 19.99315345955154, 105.6636236776193 19.99316505188506, 105.6636139802419 19.99317370263078)",4.60441034832,POINT (105.6636445445735 19.99314385619365),POINT (105.6636139802419 19.99317370263078)
260,"LINESTRING (105.7117739826464 19.93888529973755, 105.7117757397613 19.93888431855662, 105.7118024996301 19.93886466872008)","LINESTRING (105.7117739826464 19.93888529973755, 105.7117757397613 19.93888431855662, 105.7118024996301 19.93886466872008)",3.75919586274,POINT (105.7117739826464 19.93888529973755),POINT (105.7118024996301 19.93886466872008)
262,"LINESTRING (105.7128112054303 19.93720466727604, 105.7128122912157 19.93720498917, 105.712832103592 19.93720826055109, 105.7128458278534 19.93720889919417, 105.7128631426733 19.93721167801935)","LINESTRING (105.7128112054303 19.93720466727604, 105.7128122912157 19.93720498917, 105.712832103592 19.93720826055109, 105.7128458278534 19.93720889919417, 105.7128631426733 19.93721167801935)",5.49990167316,POINT (105.7128112054303 19.93720466727604),POINT (105.7128631426733 19.93721167801935)
265,"LINESTRING (105.7136337041123 19.9925178519024, 105.713624805466 19.99251213705917, 105.7135548579119 19.99247633490923)","LINESTRING (105.7136337041123 19.9925178519024, 105.713624805466 19.99251213705917, 105.7135548579119 19.99247633490923)",9.44698197274,POINT (105.7136337041123 19.9925178519024),POINT (105.7135548579119 19.99247633490923)
268,"LINESTRING (105.7138405877198 19.94410728890698, 105.7138404638253 19.9441067824133, 105.7138403902216 19.94410614578629, 105.7138363408068 19.94408957410919, 105.7138055256876 19.94400732902091, 105.7138052176926 19.94400669694401)","LINESTRING (105.7138405877198 19.94410728890698, 105.7138404638253 19.9441067824133, 105.7138403902216 19.94410614578629, 105.7138363408068 19.94408957410919, 105.7138055256876 19.94400732902091, 105.7138052176926 19.94400669694401)",11.7438852837,POINT (105.7138405877198 19.94410728890698),POINT (105.7138052176926 19.94400669694401)
269,"LINESTRING (105.7139248123601 19.93637092526328, 105.7139441073704 19.93637482327409, 105.7139561633453 19.93637880750999)","LINESTRING (105.7139248123601 19.93637092526328, 105.7139441073704 19.93637482327409, 105.7139561633453 19.93637880750999)",3.40140711771,POINT (105.7139248123601 19.93637092526328),POINT (105.7139561633453 19.93637880750999)
283,"LINESTRING (105.7503119576041 19.93810029597775, 105.7503119665638 19.93810030383157, 105.7503131046876 19.93810088141186, 105.7503132819218 19.93810100117297, 105.750313351983 19.938101062487, 105.7503465366092 19.93812349138346, 105.7503524742379 19.93812657256994, 105.7504054248285 19.93816225992276, 105.7504113178053 19.93816540153905, 105.7504459475134 19.93818868856873)","LINESTRING (105.7503119576041 19.93810029597775, 105.7503119665638 19.93810030383157, 105.7503131046876 19.93810088141186, 105.7503132819218 19.93810100117297, 105.750313351983 19.938101062487, 105.7503465366092 19.93812349138346, 105.7503524742379 19.93812657256994, 105.7504054248285 19.93816225992276, 105.7504113178053 19.93816540153905, 105.7504459475134 19.93818868856873)",17.1066402135,POINT (105.7503119576041 19.93810029597775),POINT (105.7504459475134 19.93818868856873)
286,"LINESTRING (105.7510889673288 19.94776479722578, 105.7510996354764 19.94774526387474, 105.751108135294 19.94773331017692, 105.7511083869451 19.9477330355192)","LINESTRING (105.7510889673288 19.94776479722578, 105.7510996354764 19.94774526387474, 105.751108135294 19.94773331017692, 105.7511083869451 19.9477330355192)",4.06730902827,POINT (105.7510889673288 19.94776479722578),POINT (105.7511083869451 19.9477330355192)
