,Extreme Heat - 100 year return period _mean,rawmean,normed
125,34.2739982605,34.2739982605,0.959483430461
126,34.2879981995,34.2879981995,0.960528046079
127,34.28099823,34.28099823,0.96000573827
128,34.2739982605,34.2739982605,0.959483430461
129,34.2879981995,34.2879981995,0.960528046079
130,34.2879981995,34.2879981995,0.960528046079
131,34.2879981995,34.2879981995,0.960528046079
132,34.2879981995,34.2879981995,0.960528046079
133,34.2739982605,34.2739982605,0.959483430461
134,34.2739982605,34.2739982605,0.959483430461
135,34.2739982605,34.2739982605,0.959483430461
136,34.2739982605,34.2739982605,0.959483430461
137,34.2739982605,34.2739982605,0.959483430461
138,34.2879981995,34.2879981995,0.960528046079
139,34.2739982605,34.2739982605,0.959483430461
140,34.2879981995,34.2879981995,0.960528046079
141,34.2879981995,34.2879981995,0.960528046079
142,34.2879981995,34.2879981995,0.960528046079
