,Typhoon - 200 year return period _mean,rawmean,normed
120,37.1040840149,37.1040840149,0.488375073388
121,37.1040840149,37.1040840149,0.488375073388
122,37.2202110291,37.2202110291,0.490484177287
123,37.1040840149,37.1040840149,0.488375073388
124,37.1040840149,37.1040840149,0.488375073388
125,37.1040840149,37.1040840149,0.488375073388
126,37.2202110291,37.2202110291,0.490484177287
127,37.162147522,37.162147522,0.489429625337
128,37.1040840149,37.1040840149,0.488375073388
129,37.2202110291,37.2202110291,0.490484177287
130,37.2202110291,37.2202110291,0.490484177287
131,37.2202110291,37.2202110291,0.490484177287
132,37.2202110291,37.2202110291,0.490484177287
133,37.1040840149,37.1040840149,0.488375073388
134,37.1040840149,37.1040840149,0.488375073388
135,37.1040840149,37.1040840149,0.488375073388
136,37.1040840149,37.1040840149,0.488375073388
137,37.1040840149,37.1040840149,0.488375073388
