,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
20,1971663.16475,1108353.3578,4306096.63366,3433937.51634,1324323.24021,908129.59764,1364962.62974,1672902.24287,1780455.55252,1845477.76179,2134566.0545,1810612.1965,776869.575668,1123716.82192,996183.155943,999433.802198,1307626.45239,996681.974702,1215755.1556,11457402.2453,0.0,8454865.47029,1807225.89822,676477.485425,807606.936529,703742.136036,866992.260666,959102.67814,1464926.48779,1070956.45128,555382.740536,1272446.3363,1386353.186
21,2242913.30253,1198663.94662,10222873.0707,4806702.73813,1557662.95859,1070356.57406,1550715.25378,2024405.21047,2058754.08009,2213862.05301,2623543.04974,2113554.28294,843014.721867,1247615.53952,1092852.50266,1083744.8474,1453556.92174,1111074.02704,1335174.4471,4262866.57959,8454865.47029,0.0,1890718.13616,711515.616802,857848.885332,743111.365859,894833.269572,1008802.74558,1534721.13224,1105347.19437,580447.312605,1376021.74622,1489183.60807
22,3976146.67,3049301.59342,1721650.28099,2995901.92991,2276276.42086,1671729.20659,3829033.78685,2398346.45068,4056281.78014,3072431.71029,2812780.62322,3316357.25972,3365112.93179,2951594.22554,4806963.54912,3080214.77111,4694538.57304,2796303.1538,3275567.96407,1334872.96872,1807225.89822,1890718.13616,0.0,3736562.90439,3348532.4357,4778638.49973,2969670.78148,9945580.47753,17539745.7086,3668300.42883,4641022.10338,6484432.5352,10047249.1005
23,1932402.39186,1755801.87149,650633.87218,1144548.28902,883150.917809,652488.071578,1535308.88856,924692.318434,1603441.08234,1195248.62303,1081758.44941,1370436.23266,2029049.81069,1524107.45308,2032689.20249,1931116.4175,1916974.44417,1243736.59083,1540167.62488,498434.155142,676477.485425,711515.616802,3736562.90439,0.0,2495936.70368,6574849.58347,1642613.22193,4087566.82003,3108302.83687,2029046.05588,1848369.3371,2987998.66341,2516214.44317
24,3019646.99615,3069573.624,790674.417567,1420102.58789,1121149.3016,932773.765907,2082136.09992,1160030.42664,2173778.28231,1525184.92943,1359838.7777,2024424.53022,3369430.30226,2634620.33211,3115414.85655,3896711.87977,2704647.15887,2079453.65843,2506153.11026,592371.451268,807606.936529,857848.885332,3348532.4357,2495936.70368,0.0,2698492.84842,2315244.6715,2985151.27177,2765520.92745,2859917.35996,1480018.79316,4694179.7045,3582694.94266
25,2014915.71367,1845147.03726,681664.378504,1208988.68633,944049.747029,700768.247514,1685292.36776,983644.196406,1739672.17764,1280361.01525,1148495.19415,1422916.32982,2400510.38306,1600462.40719,2337212.56021,2047463.73382,2136872.31462,1303094.20654,1610620.77049,517584.983958,703742.136036,743111.365859,4778638.49973,6574849.58347,2698492.84842,0.0,1718362.98176,7454190.96385,4013330.46715,2122616.31903,2803341.72362,3466520.12882,3096905.40391
26,2250875.55933,1936711.08922,806263.818935,1366410.62787,996266.225692,773121.998061,1558400.17793,1065298.20422,1732342.31607,1336381.56389,1262888.83644,1646519.44555,1622924.3469,1689704.19682,1764983.02083,2010173.22175,1841005.55835,1400421.12159,1757224.39067,644477.412317,866992.260666,894833.269572,2969670.78148,1642613.22193,2315244.6715,1718362.98176,0.0,2131037.08797,2429788.00248,44498828.0,1151947.56014,2525971.76957,2387516.41034
27,2528649.76364,2251165.01663,922500.248948,1622873.52688,1252320.09331,925261.93587,2177416.24856,1311189.54622,2273893.99335,1694899.37502,1533888.04493,1829668.2252,2629048.87172,1957879.53528,2883545.28714,2420950.653,2718936.73266,1607100.18728,1999987.73197,706667.159575,959102.67814,1008802.74558,9945580.47753,4087566.82003,2985151.27177,7454190.96385,2131037.08797,0.0,8545389.94458,2632374.03702,10353722.6601,3911201.8574,6448133.57429
28,3254741.55169,2499516.89232,1399008.59181,2441246.05249,1862132.00541,1369636.30411,3158191.85763,1958881.53006,3333859.3386,2515137.25928,2295912.08943,2714895.61542,2794041.69769,2424167.75149,4015993.6318,2532173.3777,3889359.19899,2301344.33712,2688537.37286,1081346.67559,1464926.48779,1534721.13224,17539745.7086,3108302.83687,2765520.92745,4013330.46715,2429788.00248,8545389.94458,0.0,3001407.57254,3924359.16367,5412662.27003,8511636.63273
29,2780405.09778,2392331.89195,995941.345148,1687865.44403,1230642.75196,955002.748022,1925021.47937,1315914.84273,2139884.36044,1650771.89515,1559989.64235,2033871.23781,2004725.27623,2087215.41407,2180203.95142,2483076.35222,2274111.16455,1729877.07356,2170620.06538,796093.891189,1070956.45128,1105347.19437,3668300.42883,2029046.05588,2859917.35996,2122616.31903,44498828.0,2632374.03702,3001407.57254,0.0,1422948.88552,3120219.04359,2949191.38058
30,1380664.98506,1200607.49873,528118.655463,917115.177714,694824.455898,509729.038679,1161866.67799,732935.537647,1233956.24923,937384.724672,859988.169114,1011784.26498,1294639.91243,1046469.75881,1445343.62051,1259629.72207,1419947.1403,864730.607834,1082271.06988,410418.045026,555382.740536,580447.312605,4641022.10338,1848369.3371,1480018.79316,2803341.72362,1151947.56014,10353722.6601,3924359.16367,1422948.88552,0.0,1965952.63346,3008095.15311
31,3877530.29095,3792814.65929,1287097.30082,2406943.64272,2042806.63198,1570712.65219,4543191.75439,2055053.52251,4229275.18289,2814073.37919,2367131.60316,3040121.18044,12316765.3088,3268420.66628,11371382.2532,4564497.46836,6742382.27594,3055714.74172,3262448.61551,925855.246298,1272446.3363,1376021.74622,6484432.5352,2987998.66341,4694179.7045,3466520.12882,2525971.76957,3911201.8574,5412662.27003,3120219.04359,1965952.63346,0.0,15583543.2006
32,3737689.9773,3261342.00542,1385203.48661,2550478.63427,2109845.4848,1604064.27628,4353535.8509,2145928.54191,4203754.91576,2892039.37403,2482141.65717,3123685.56735,5591203.03039,3004376.16734,8417926.25405,3616835.80704,6081664.26378,2998346.91083,3282431.26845,1011751.72545,1386353.186,1489183.60807,10047249.1005,2516214.44317,3582694.94266,3096905.40391,2387516.41034,6448133.57429,8511636.63273,2949191.38058,3008095.15311,15583543.2006,0.0
