,lines,shapely,length,start,end
2125,"LINESTRING (105.7537438801822 20.08562095497826, 105.7537345483199 20.08560308720848)","LINESTRING (105.7537438801822 20.08562095497826, 105.7537345483199 20.08560308720848)",2.20503723196,POINT (105.7537438801822 20.08562095497826),POINT (105.7537345483199 20.08560308720848)
2129,"LINESTRING (105.7538260575391 20.12542947731836, 105.753816280229 20.12542804068371, 105.7538045819066 20.12542481501097)","LINESTRING (105.7538260575391 20.12542947731836, 105.753816280229 20.12542804068371, 105.7538045819066 20.12542481501097)",2.30818688974,POINT (105.7538260575391 20.12542947731836),POINT (105.7538045819066 20.12542481501097)
2130,"LINESTRING (105.753809659412 20.12505488354193, 105.7538133719645 20.12505062957335)","LINESTRING (105.753809659412 20.12505488354193, 105.7538133719645 20.12505062957335)",0.610116596412,POINT (105.753809659412 20.12505488354193),POINT (105.7538133719645 20.12505062957335)
2131,"LINESTRING (105.7538104657758 20.12505458612997, 105.753809659412 20.12505488354193)","LINESTRING (105.7538104657758 20.12505458612997, 105.753809659412 20.12505488354193)",0.0904880942515,POINT (105.7538104657758 20.12505458612997),POINT (105.753809659412 20.12505488354193)
2133,"LINESTRING (105.7543554397028 20.10511869219987, 105.7543544618201 20.10514416168818, 105.7543532562988 20.10515215085897)","LINESTRING (105.7543554397028 20.10511869219987, 105.7543544618201 20.10514416168818, 105.7543532562988 20.10515215085897)",3.71365446355,POINT (105.7543554397028 20.10511869219987),POINT (105.7543532562988 20.10515215085897)
2134,"LINESTRING (105.7545656990695 20.09309210042425, 105.7545647017559 20.09309357680325)","LINESTRING (105.7545656990695 20.09309210042425, 105.7545647017559 20.09309357680325)",0.193826769318,POINT (105.7545656990695 20.09309210042425),POINT (105.7545647017559 20.09309357680325)
2137,"LINESTRING (105.7546015838944 20.09308340544487, 105.7545909220731 20.09310199336931)","LINESTRING (105.7546015838944 20.09308340544487, 105.7545909220731 20.09310199336931)",2.33972692081,POINT (105.7546015838944 20.09308340544487),POINT (105.7545909220731 20.09310199336931)
2138,"LINESTRING (105.7550986826865 20.09360952838114, 105.7551021520135 20.0936045101172)","LINESTRING (105.7550986826865 20.09360952838114, 105.7551021520135 20.0936045101172)",0.663327473856,POINT (105.7550986826865 20.09360952838114),POINT (105.7551021520135 20.0936045101172)
2142,"LINESTRING (105.75533349075 20.11607895551917, 105.7553589813247 20.11607761429696, 105.7553642267078 20.1160779385518)","LINESTRING (105.75533349075 20.11607895551917, 105.7553589813247 20.11607761429696, 105.7553642267078 20.1160779385518)",3.21833007442,POINT (105.75533349075 20.11607895551917),POINT (105.7553642267078 20.1160779385518)
2145,"LINESTRING (105.7554185398112 20.09386876228035, 105.7554268809065 20.09385396644105)","LINESTRING (105.7554185398112 20.09386876228035, 105.7554268809065 20.09385396644105)",1.85519668465,POINT (105.7554185398112 20.09386876228035),POINT (105.7554268809065 20.09385396644105)
