,Junction,points
437,POINT (105.5479164698863 20.26817275887967),3.0
438,POINT (105.7624711024731 20.10127269380891),3.0
439,POINT (105.6727603618542 20.14423738019601),3.0
440,POINT (105.7680960926457 20.09192919324874),3.0
441,POINT (105.7624710948346 20.10127269386315),3.0
442,POINT (105.7234199539413 20.13011254893205),3.0
443,POINT (105.7888195372269 20.13642264457931),3.0
444,POINT (105.7788993966641 20.10375186566475),3.0
445,POINT (105.5771890809943 20.28543609525351),3.0
446,POINT (105.753809659412 20.12505488354193),3.0
447,POINT (105.6574255497943 20.19840540311709),3.0
448,POINT (105.608439793561 20.11503664829928),3.0
449,POINT (105.7779405920459 20.09811656445961),3.0
450,POINT (105.6261183898398 20.14308444700854),3.0
451,POINT (105.5520195932107 20.28094582996281),3.0
452,POINT (105.73589825953 20.08389847379543),3.0
453,POINT (105.7603367994549 20.12544475156429),3.0
454,POINT (105.7629441156881 20.08285008853872),3.0
455,POINT (105.7502105518154 20.13053414956907),3.0
456,POINT (105.7783600992292 20.09834693910559),3.0
457,POINT (105.6480287545848 20.12457700437636),3.0
458,POINT (105.6716740881306 20.22647399127563),3.0
459,POINT (105.6167990453866 20.26730056212556),3.0
460,POINT (105.6343561291682 20.13928604914445),3.0
461,POINT (105.5536643437475 20.2644355795981),3.0
462,POINT (105.6812515368744 20.1869912927291),3.0
463,POINT (105.7622570853505 20.0966162402753),3.0
464,POINT (105.6558566305935 20.22203868183138),3.0
465,POINT (105.6684321591425 20.13069425628263),3.0
466,POINT (105.5482847051263 20.26875930001419),3.0
467,POINT (105.6219919230117 20.10956477420535),3.0
468,POINT (105.7641157197569 20.11107420860352),3.0
469,POINT (105.5952586796612 20.23421217235503),3.0
470,POINT (105.6906501093508 20.16482219552141),3.0
471,POINT (105.756134542678 20.10731897448819),3.0
472,POINT (105.7496094403592 20.13749944512345),3.0
473,POINT (105.7367841620124 20.11627289896306),3.0
474,POINT (105.6963232119967 20.01316440451239),3.0
475,POINT (105.7243030767924 20.15019926369371),3.0
476,POINT (105.6951117415249 20.20624820982781),3.0
477,POINT (105.7392290686388 20.13335688380587),3.0
478,POINT (105.6734633193771 20.15613303290368),3.0
479,POINT (105.679268238309 20.13259763290472),3.0
480,POINT (105.7210315313996 20.13575200417684),3.0
481,POINT (105.732937797883 20.14056243884564),3.0
482,POINT (105.7388709370027 20.14709132640867),3.0
483,POINT (105.7014714257718 20.06631465961713),3.0
484,POINT (105.6925454482471 20.10959442875962),3.0
