,points,Junction
POINT (105.661720907385 20.19382112910335),3,POINT (105.661720907385 20.19382112910335)
POINT (105.6624431161103 20.1632240555193),3,POINT (105.6624431161103 20.1632240555193)
POINT (105.6219919230117 20.10956477420535),3,POINT (105.6219919230117 20.10956477420535)
POINT (105.6435715677251 20.18126012872402),3,POINT (105.6435715677251 20.18126012872402)
POINT (105.7205939718428 20.12754993864094),3,POINT (105.7205939718428 20.12754993864094)
POINT (105.6714682807139 20.19880660368274),3,POINT (105.6714682807139 20.19880660368274)
POINT (105.6003871765781 20.1776162195531),3,POINT (105.6003871765781 20.1776162195531)
POINT (105.7525495274206 20.12728466025301),3,POINT (105.7525495274206 20.12728466025301)
POINT (105.6532844679036 20.12585792497013),3,POINT (105.6532844679036 20.12585792497013)
POINT (105.5948921070372 20.23390698306157),3,POINT (105.5948921070372 20.23390698306157)
POINT (105.6113600959203 20.13486601909929),3,POINT (105.6113600959203 20.13486601909929)
POINT (105.6134043722952 20.17486717784376),3,POINT (105.6134043722952 20.17486717784376)
POINT (105.6058471968919 20.18854068792338),3,POINT (105.6058471968919 20.18854068792338)
POINT (105.5343866860739 20.29073453197513),3,POINT (105.5343866860739 20.29073453197513)
POINT (105.7076725384807 20.1664459675531),3,POINT (105.7076725384807 20.1664459675531)
POINT (105.6789456558199 20.13187725877024),3,POINT (105.6789456558199 20.13187725877024)
POINT (105.6394720060026 20.16171644923074),3,POINT (105.6394720060026 20.16171644923074)
POINT (105.5222654941539 20.26691568993744),3,POINT (105.5222654941539 20.26691568993744)
POINT (105.6077565700218 20.14242659440745),3,POINT (105.6077565700218 20.14242659440745)
POINT (105.6562712044171 20.2122072419355),3,POINT (105.6562712044171 20.2122072419355)
POINT (105.5881444133594 20.276459550392),3,POINT (105.5881444133594 20.276459550392)
POINT (105.6326730036278 20.15889500526833),3,POINT (105.6326730036278 20.15889500526833)
POINT (105.6744286086752 20.13048431902167),3,POINT (105.6744286086752 20.13048431902167)
POINT (105.687175777448 20.13267149484615),3,POINT (105.687175777448 20.13267149484615)
POINT (105.6086276571643 20.11112367568567),3,POINT (105.6086276571643 20.11112367568567)
POINT (105.7635293278938 20.08544418524038),3,POINT (105.7635293278938 20.08544418524038)
POINT (105.663060930011 20.12762026119198),3,POINT (105.663060930011 20.12762026119198)
POINT (105.751055766576 20.13447144354842),3,POINT (105.751055766576 20.13447144354842)
POINT (105.7725033157879 20.11925707048831),3,POINT (105.7725033157879 20.11925707048831)
POINT (105.5503678137611 20.25255284785652),3,POINT (105.5503678137611 20.25255284785652)
POINT (105.7376430378466 20.14438193872591),3,POINT (105.7376430378466 20.14438193872591)
POINT (105.5946322255861 20.17100298088336),3,POINT (105.5946322255861 20.17100298088336)
POINT (105.6705874061707 20.17664538422013),3,POINT (105.6705874061707 20.17664538422013)
POINT (105.682197748083 20.12590259306257),3,POINT (105.682197748083 20.12590259306257)
POINT (105.7711912931704 20.09544872171691),3,POINT (105.7711912931704 20.09544872171691)
POINT (105.6739850260806 20.22999052972609),3,POINT (105.6739850260806 20.22999052972609)
POINT (105.7303095195972 20.15010793589671),3,POINT (105.7303095195972 20.15010793589671)
POINT (105.7309523294173 20.10813751886187),3,POINT (105.7309523294173 20.10813751886187)
POINT (105.5210137339912 20.32523039939042),3,POINT (105.5210137339912 20.32523039939042)
POINT (105.5182221153292 20.33259112508265),3,POINT (105.5182221153292 20.33259112508265)
POINT (105.7751223963541 20.1170581864702),3,POINT (105.7751223963541 20.1170581864702)
POINT (105.6588754846656 20.16098250382567),3,POINT (105.6588754846656 20.16098250382567)
POINT (105.6214139366633 20.11213566180168),3,POINT (105.6214139366633 20.11213566180168)
POINT (105.6663993503512 20.12864599379914),3,POINT (105.6663993503512 20.12864599379914)
POINT (105.5832940521319 20.21972025806633),3,POINT (105.5832940521319 20.21972025806633)
POINT (105.5789224015491 20.22648795893544),3,POINT (105.5789224015491 20.22648795893544)
POINT (105.6215292558545 20.17611603315149),3,POINT (105.6215292558545 20.17611603315149)
POINT (105.5658120417363 20.25472462500657),3,POINT (105.5658120417363 20.25472462500657)
POINT (105.6164698058011 20.17584342752969),3,POINT (105.6164698058011 20.17584342752969)
POINT (105.5962822768154 20.23558993055195),3,POINT (105.5962822768154 20.23558993055195)
POINT (105.5901868700623 20.19121844238587),3,POINT (105.5901868700623 20.19121844238587)
POINT (105.7378385500763 20.14437762238497),3,POINT (105.7378385500763 20.14437762238497)
POINT (105.767739462208 20.09076120070717),3,POINT (105.767739462208 20.09076120070717)
POINT (105.745608565927 20.12475951922062),3,POINT (105.745608565927 20.12475951922062)
POINT (105.6802078450029 20.09152109919539),3,POINT (105.6802078450029 20.09152109919539)
POINT (105.5856554044678 20.2733981790191),3,POINT (105.5856554044678 20.2733981790191)
